,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
30978,2195,69.0,19.0,93.4,0.5,1.0,5.9,0.1,3.9,2.3,0.48792710706150344,,kohler village,wisconsin,midwest
30979,378,75.4,17.5,97.9,0.5,1.3,0.5,0.0,1.1,0.8,0.5370370370370371,,krakow,wisconsin,midwest
30980,8353,73.1,15.4,93.6,0.9,1.7,5.8,0.1,1.9,1.9,0.5073626242068718,,kronenwetter village,wisconsin,midwest
30981,1845,63.1,13.6,14.6,1.1,87.8,0.2,0.2,0.8,3.1,0.5024390243902439,,lac du flambeau,wisconsin,midwest
30982,281,77.2,28.5,97.9,0.4,0.0,0.4,0.0,1.8,1.1,0.4697508896797153,,lac la belle village,wisconsin,midwest
30983,52680,75.4,15.2,90.2,4.8,1.8,5.6,0.1,2.8,3.2,0.48376993166287013,,la crosse,wisconsin,midwest
30984,3216,75.5,25.9,96.6,1.5,2.7,1.3,0.1,2.7,3.0,0.472636815920398,,ladysmith,wisconsin,midwest
30985,730,76.2,25.2,97.0,0.0,1.4,0.8,0.0,3.0,1.5,0.473972602739726,,la farge village,wisconsin,midwest
30986,946,90.3,48.2,98.5,0.2,1.4,0.4,0.0,1.1,1.3,0.5253699788583509,,lake arrowhead,wisconsin,midwest
30987,895,88.7,43.8,99.4,0.4,0.7,0.0,0.0,1.3,0.6,0.5385474860335195,,lake camelot,wisconsin,midwest
30988,3501,78.9,18.8,77.3,4.2,3.5,2.0,0.2,21.7,24.1,0.5052842045129963,,lake delton village,wisconsin,midwest
30989,8277,76.8,21.9,91.1,1.6,1.6,2.4,0.1,13.2,15.6,0.48326688413676455,,lake geneva,wisconsin,midwest
30990,7170,73.3,16.7,95.2,1.1,2.1,3.4,0.1,3.1,2.2,0.497489539748954,,lake hallie village,wisconsin,midwest
30991,461,69.8,15.0,74.6,10.6,2.8,0.9,0.0,23.6,25.6,0.49023861171366595,,lake ivanhoe,wisconsin,midwest
30992,1239,83.1,25.7,99.5,0.2,1.3,0.4,0.0,1.8,1.4,0.4915254237288136,,lake koshkonong,wisconsin,midwest
30993,338,77.5,12.7,95.0,1.5,3.6,0.6,0.0,6.5,8.3,0.5887573964497042,,lake lorraine,wisconsin,midwest
30994,6211,72.9,17.0,95.9,1.5,1.5,1.4,0.2,5.3,6.0,0.4942843342456931,,lake mills,wisconsin,midwest
30995,1123,77.6,26.3,98.6,0.6,2.3,0.1,0.0,3.3,1.6,0.5004452359750667,,lake nebagamon village,wisconsin,midwest
30996,1911,80.3,22.7,98.2,0.8,0.7,0.5,0.1,2.3,1.6,0.4976452119309262,,lake ripley,wisconsin,midwest
30997,357,91.9,35.6,98.0,0.3,2.0,1.1,0.0,1.7,1.7,0.5210084033613446,,lake sherwood,wisconsin,midwest
30998,246,81.7,33.3,98.4,0.4,3.3,0.8,0.0,2.0,0.4,0.532520325203252,,lake tomahawk,wisconsin,midwest
30999,3107,77.0,22.9,97.0,0.8,1.4,1.2,0.2,1.7,1.3,0.5062761506276151,,lake wazeecha,wisconsin,midwest
31000,4616,77.3,20.7,98.5,0.5,0.9,0.7,0.2,2.1,1.6,0.5084488734835355,,lake wisconsin,wisconsin,midwest
31001,2830,75.4,20.4,97.8,0.7,1.9,2.2,0.1,2.5,1.1,0.5204946996466431,,lake wissota,wisconsin,midwest
31002,241,86.7,43.2,98.3,0.0,1.7,0.0,0.0,1.7,1.2,0.6307053941908713,,lakewood,wisconsin,midwest
31003,3907,72.0,21.2,98.0,1.4,1.0,0.9,0.1,1.5,1.4,0.482467366265677,,lancaster,wisconsin,midwest
31004,1355,74.4,16.8,93.2,2.1,2.8,5.7,0.1,1.8,2.9,0.5143911439114391,,lannon village,wisconsin,midwest
31005,519,75.7,20.8,93.8,0.4,5.2,1.2,2.5,0.4,1.3,0.5221579961464354,,laona,wisconsin,midwest
31006,1283,77.2,23.4,98.1,0.6,1.6,0.8,0.1,4.4,3.0,0.5128604832424006,,lauderdale lakes,wisconsin,midwest
31007,388,76.0,17.0,96.6,1.8,1.0,1.0,0.0,1.3,1.0,0.5154639175257731,,la valle village,wisconsin,midwest
31008,187,81.3,25.1,98.4,1.1,0.5,0.5,0.0,0.5,1.6,0.5187165775401069,,lebanon,wisconsin,midwest
31009,1670,71.1,22.2,28.2,0.9,74.1,0.1,0.1,0.8,3.7,0.48323353293413174,,legend lake,wisconsin,midwest
31010,537,73.6,16.6,97.6,1.7,2.0,0.6,0.0,1.9,2.8,0.5325884543761639,,lena village,wisconsin,midwest
31011,86,70.9,12.8,81.4,1.2,22.1,1.2,0.0,3.5,3.5,0.43023255813953487,,leopolis,wisconsin,midwest
31012,87,80.5,31.0,98.9,0.0,4.6,0.0,0.0,1.1,1.1,0.632183908045977,,lewis,wisconsin,midwest
31013,508,80.5,18.7,98.4,1.2,0.8,0.6,0.2,2.8,2.6,0.515748031496063,,lily lake,wisconsin,midwest
31014,158,69.6,16.5,98.7,1.3,1.9,0.0,0.6,0.6,0.0,0.5189873417721519,,lime ridge village,wisconsin,midwest
31015,504,74.6,14.9,97.4,2.2,1.2,0.6,0.2,2.6,0.8,0.5099206349206349,,linden village,wisconsin,midwest
31016,11619,74.8,15.2,94.3,2.0,2.3,2.5,0.2,3.5,4.7,0.4963421981237628,,little chute village,wisconsin,midwest
31017,1242,56.4,8.2,14.3,0.6,90.7,0.2,0.3,1.0,1.8,0.4533011272141707,,little round lake,wisconsin,midwest
31018,177,84.2,36.2,98.9,1.1,3.4,0.0,1.1,4.0,1.1,0.4124293785310734,,little sturgeon,wisconsin,midwest
31019,637,72.7,19.9,98.4,1.1,0.2,0.5,0.0,1.4,0.8,0.5039246467817896,,livingston village,wisconsin,midwest
31020,3189,74.4,18.8,97.2,1.0,1.8,1.3,0.1,2.7,2.9,0.4973345876450298,,lodi,wisconsin,midwest
31021,301,75.1,14.0,98.7,1.3,0.3,1.0,0.0,1.7,1.7,0.4750830564784053,,loganville village,wisconsin,midwest
31022,434,77.0,22.6,96.8,1.2,4.8,0.9,0.2,3.2,5.8,0.5230414746543779,,lohrville village,wisconsin,midwest
31023,2678,72.1,16.3,95.9,1.7,2.0,0.8,0.0,4.6,6.1,0.49925317401045555,,lomira village,wisconsin,midwest
31024,829,75.3,19.4,94.6,0.0,2.9,1.3,0.0,4.8,4.5,0.525934861278649,,lone rock village,wisconsin,midwest
31025,59,83.1,42.4,100.0,1.7,1.7,0.0,0.0,5.1,0.0,0.559322033898305,,long lake,wisconsin,midwest
31026,309,82.8,18.1,98.7,0.3,2.6,0.3,0.0,2.9,3.6,0.5339805825242718,,lowell village,wisconsin,midwest
31027,1203,72.3,19.5,98.8,0.6,0.9,0.4,0.0,1.2,2.7,0.5087281795511222,,loyal,wisconsin,midwest
31028,117,76.1,23.1,97.4,2.6,0.9,0.0,0.0,0.9,0.9,0.5128205128205128,,lublin village,wisconsin,midwest
31029,1093,79.1,28.2,95.6,1.6,2.2,1.0,0.0,3.3,3.0,0.47209515096065874,,luck village,wisconsin,midwest
31030,2685,70.4,15.4,95.4,0.4,2.1,0.6,0.1,6.2,6.0,0.49422718808193666,,luxemburg village,wisconsin,midwest
31031,498,75.5,19.3,97.4,1.0,3.2,0.8,0.0,3.6,4.4,0.4799196787148594,,lyndon station village,wisconsin,midwest
31032,132,82.6,30.3,100.0,0.0,1.5,0.0,0.0,1.5,1.5,0.5606060606060606,,lynxville village,wisconsin,midwest
31033,932,74.0,17.6,98.1,0.1,1.0,0.4,0.0,3.4,5.0,0.47103004291845496,,lyons,wisconsin,midwest
31034,8991,72.4,15.9,94.9,2.9,1.4,3.4,0.2,3.0,3.1,0.4909353798242687,,mcfarland village,wisconsin,midwest
31035,269840,75.5,13.2,78.3,9.5,1.8,11.1,0.2,7.5,8.7,0.4963015120071153,40529,madison,wisconsin,midwest
31036,115,81.7,20.9,96.5,0.0,0.9,1.7,0.0,1.7,0.0,0.5739130434782609,,maiden rock village,wisconsin,midwest
31037,2613,77.3,20.6,94.3,0.9,1.1,3.6,0.0,2.3,2.3,0.5154994259471871,,maine village,wisconsin,midwest
31038,1441,69.7,17.2,97.1,1.1,2.6,0.3,0.0,2.4,3.8,0.5100624566273422,,manawa,wisconsin,midwest
31039,34626,75.7,21.7,89.1,3.4,2.5,5.8,0.1,5.7,7.2,0.49182695084618494,,manitowoc,wisconsin,midwest
31040,1368,75.2,23.5,97.5,1.9,0.8,1.8,0.4,3.2,3.0,0.5073099415204678,,maple bluff village,wisconsin,midwest
31041,1576,72.3,20.1,97.1,0.5,1.0,2.1,0.1,2.9,3.2,0.4727157360406091,,marathon city village,wisconsin,midwest
31042,148,67.6,10.8,95.3,1.4,6.8,1.4,0.7,2.0,1.4,0.5,,marengo,wisconsin,midwest
31043,336,76.8,19.9,94.9,1.5,2.4,1.2,0.3,6.3,1.8,0.4880952380952381,,maribel village,wisconsin,midwest
31044,11119,75.6,20.4,95.4,1.9,3.2,1.3,0.1,3.4,3.8,0.49383937404442846,,marinette,wisconsin,midwest
31045,1324,73.4,21.8,97.8,1.4,2.8,0.8,0.0,2.0,2.7,0.5060422960725075,,marion,wisconsin,midwest
31046,1377,73.5,23.7,95.1,1.7,1.5,0.8,0.0,6.2,6.4,0.5010893246187363,,markesan,wisconsin,midwest
31047,172,84.3,30.2,97.7,2.3,0.6,0.6,0.0,1.2,0.6,0.4883720930232558,,marquette village,wisconsin,midwest
31048,3787,71.3,13.8,86.6,5.5,2.2,2.0,0.1,11.8,14.6,0.5067335621864273,,marshall village,wisconsin,midwest
31049,18929,77.3,22.9,94.6,2.0,1.6,3.2,0.2,2.9,3.4,0.4736119182207195,,marshfield,wisconsin,midwest
31050,101,65.3,10.9,88.1,2.0,11.9,0.0,0.0,0.0,0.0,0.5247524752475248,,mason village,wisconsin,midwest
31051,357,76.8,22.4,80.1,1.4,3.9,0.0,0.0,20.7,21.8,0.5210084033613446,,mattoon village,wisconsin,midwest
31052,4347,75.8,18.4,93.9,3.5,2.6,1.1,0.1,3.5,3.6,0.5221992178513918,,mauston,wisconsin,midwest
31053,5196,75.7,19.9,96.7,1.5,1.7,0.9,0.1,4.4,4.9,0.5030792917628946,,mayville,wisconsin,midwest
