,Total Population,% age 21+,% age 65+,% Race - White,% Race - Black,% Race - American Native,% Race  - Asian,% Race - Pacific Islander,% Race - Other,% Race - Hispanic/Latino,% Male,2021 Median Income,City,State,Region
0,133,78.9,24.1,72.2,25.6,0.0,0.0,0.0,3.0,3.0,0.38345864661654133,,abanda,alabama,south
1,2358,76.6,26.2,52.7,45.6,1.3,1.2,0.2,2.7,2.8,0.4707379134860051,,abbeville,alabama,south
2,4366,75.0,18.6,42.6,54.5,2.3,0.4,0.1,3.7,4.2,0.4587723316536876,,adamsville,alabama,south
3,659,74.5,20.3,97.1,0.5,2.6,0.3,0.2,1.8,1.2,0.4658573596358118,,addison,alabama,south
4,225,76.4,20.9,10.2,90.7,0.0,0.9,0.0,0.4,0.4,0.48444444444444446,,akron,alabama,south
5,33284,69.6,13.7,74.3,17.4,2.9,1.8,0.2,11.3,12.7,0.4843167888474943,,alabaster,alabama,south
6,22386,65.5,14.0,69.6,6.2,4.4,1.1,0.1,27.3,33.7,0.4821763602251407,,albertville,alabama,south
7,14843,74.4,21.4,62.1,34.3,1.7,1.2,0.0,4.3,5.0,0.47295021222124906,,alexander city,alabama,south
8,4032,73.6,17.7,88.2,11.2,2.1,0.8,0.4,1.3,1.3,0.4915674603174603,,alexandria,alabama,south
9,2177,72.3,19.0,21.3,79.0,0.5,0.5,0.0,0.8,1.2,0.4418925126320625,,aliceville,alabama,south
10,548,62.0,10.0,57.5,2.0,3.8,1.1,0.4,46.4,52.4,0.5018248175182481,,allgood,alabama,south
11,948,72.0,18.8,95.6,1.9,2.6,0.1,0.1,3.2,3.6,0.46624472573839665,,altoona,alabama,south
12,8805,73.3,20.9,71.0,28.1,1.6,1.7,0.2,2.2,2.3,0.46825667234525836,,andalusia,alabama,south
13,254,79.5,23.6,97.6,0.0,3.1,2.0,0.0,1.6,3.5,0.48031496062992124,,anderson,alabama,south
14,21564,77.5,21.5,46.7,51.4,1.6,1.6,0.1,3.8,4.2,0.45144685587089595,,anniston,alabama,south
15,8461,74.5,20.2,96.5,1.0,3.5,1.5,0.1,2.7,3.6,0.47630303746602054,,arab,alabama,south
16,1321,74.8,20.5,94.4,3.9,3.5,0.8,0.2,4.1,4.2,0.46252838758516274,,ardmore,alabama,south
17,4368,69.9,12.9,90.8,7.9,3.8,0.8,0.1,2.4,2.2,0.49793956043956045,,argo,alabama,south
18,662,71.5,16.9,71.0,22.5,1.5,1.2,0.3,8.9,8.9,0.4818731117824773,,ariton,alabama,south
19,330,68.5,19.7,97.9,0.0,0.6,0.0,0.0,2.4,2.1,0.45151515151515154,,arley,alabama,south
20,2246,73.0,18.6,78.0,22.0,2.0,0.8,0.2,1.5,1.7,0.48308103294746213,,ashford,alabama,south
21,1984,77.4,23.7,71.1,27.9,1.3,1.4,0.1,3.5,3.3,0.46723790322580644,,ashland,alabama,south
22,2346,73.8,18.9,77.7,18.8,3.5,1.1,0.2,4.6,5.3,0.5029838022165388,,ashville,alabama,south
23,25406,74.1,20.1,75.3,18.8,2.9,1.5,0.3,7.8,9.5,0.47059749665433365,,athens,alabama,south
24,8391,77.5,17.1,41.7,56.6,3.7,0.6,0.1,1.2,1.8,0.54820641163151,,atmore,alabama,south
25,5827,73.6,20.0,82.1,15.7,3.5,0.7,0.1,4.7,5.8,0.47073966020250557,,attalla,alabama,south
26,76143,67.4,8.9,69.0,19.5,1.7,10.9,0.2,4.2,4.8,0.49234992054423915,22941,auburn,alabama,south
27,795,75.8,18.9,30.8,68.7,3.3,0.3,0.0,1.3,1.1,0.45534591194968554,,autaugaville,alabama,south
28,465,77.6,20.0,92.5,6.9,2.2,0.9,0.2,1.5,2.2,0.4881720430107527,,avon,alabama,south
29,561,76.1,15.7,60.2,34.6,5.9,0.5,0.0,1.4,0.7,0.47771836007130125,,axis,alabama,south
30,625,77.8,21.6,98.1,1.1,1.9,0.8,0.2,0.5,0.3,0.5008,,babbie,alabama,south
31,649,77.2,18.5,97.5,0.8,4.2,0.2,0.2,2.3,2.5,0.514637904468413,,baileyton,alabama,south
32,211,75.4,19.4,67.8,33.2,2.4,0.9,0.0,0.9,0.9,0.4881516587677725,,bakerhill,alabama,south
33,1437,75.5,18.0,98.1,1.3,4.1,0.9,0.0,1.1,1.1,0.476687543493389,,ballplay,alabama,south
34,156,73.7,25.0,70.5,27.6,0.0,2.6,0.0,1.9,1.9,0.46794871794871795,,banks,alabama,south
35,8107,71.0,18.1,61.5,37.6,3.5,1.0,0.2,1.9,2.3,0.48575305291723203,,bay minette,alabama,south
36,2204,71.1,15.5,64.5,14.2,2.5,20.0,0.1,4.2,4.5,0.48729582577132485,,bayou la batre,alabama,south
37,1047,71.3,18.7,96.6,1.3,2.5,0.4,0.0,3.1,3.5,0.4918815663801337,,bear creek,alabama,south
38,204,81.4,27.9,33.3,69.1,0.5,0.5,0.0,1.0,1.0,0.47549019607843135,,beatrice,alabama,south
39,187,85.6,25.7,95.2,3.7,1.6,0.5,0.5,1.6,1.1,0.5561497326203209,,beaverton,alabama,south
40,170,71.2,25.9,99.4,0.0,1.8,0.0,0.0,0.6,1.2,0.5470588235294118,,belgreen,alabama,south
41,186,76.3,31.7,98.9,1.1,3.8,0.0,0.0,0.5,2.2,0.45698924731182794,,belk,alabama,south
42,363,81.5,20.4,10.2,90.6,0.8,0.3,0.0,0.3,0.8,0.5041322314049587,,bellamy,alabama,south
43,613,77.5,21.2,95.8,2.0,4.6,2.3,0.0,6.9,6.0,0.4763458401305057,,belle fontaine,alabama,south
44,41,87.8,34.1,97.6,0.0,2.4,0.0,0.0,2.4,2.4,0.5365853658536586,,benton,alabama,south
45,476,74.6,16.4,89.3,1.9,4.4,0.0,0.4,12.8,14.1,0.5315126050420168,,berlin,alabama,south
46,1216,70.1,16.0,91.1,9.2,2.5,0.5,0.0,3.0,1.9,0.46463815789473684,,berry,alabama,south
47,26019,73.9,19.0,23.6,71.2,1.5,0.4,0.1,7.9,8.9,0.46323840270571504,,bessemer,alabama,south
48,125,80.0,18.4,84.0,16.0,1.6,0.8,0.0,0.0,1.6,0.44,,billingsley,alabama,south
49,200733,76.4,16.6,26.3,69.8,1.3,2.0,0.1,4.1,4.6,0.4646968859131284,23326,birmingham,alabama,south
50,221,71.0,18.6,96.8,2.3,3.2,1.8,0.5,0.5,1.8,0.5067873303167421,,black,alabama,south
51,1826,65.8,15.4,78.8,1.3,2.7,1.4,0.2,20.8,21.8,0.47316538882803943,,blountsville,alabama,south
52,1485,80.3,33.8,94.1,4.9,2.8,1.7,0.0,2.2,1.1,0.4727272727272727,,blue ridge,alabama,south
53,84,88.1,42.9,83.3,9.5,3.6,4.8,0.0,1.2,2.4,0.4642857142857143,,blue springs,alabama,south
54,10107,69.2,17.9,79.2,3.3,4.7,0.9,1.1,16.9,20.3,0.4764024933214604,,boaz,alabama,south
55,301,68.4,14.3,10.3,90.4,0.0,0.3,0.0,0.7,0.0,0.43521594684385384,,boligee,alabama,south
56,172,69.8,18.0,73.3,26.7,1.7,0.0,1.2,4.1,6.4,0.43023255813953487,,bon air,alabama,south
57,1754,76.3,20.5,89.0,4.3,3.2,0.7,0.1,8.0,10.1,0.48745724059293044,,bon secour,alabama,south
58,208,73.1,28.4,2.9,95.2,1.0,0.5,0.0,1.9,2.4,0.375,,boykin,alabama,south
59,825,74.2,19.2,57.0,42.8,1.5,0.4,0.0,1.1,1.7,0.4351515151515152,,brantley,alabama,south
60,931,72.1,10.4,76.6,5.9,5.4,0.6,0.4,21.2,26.3,0.48012889366272826,,brantleyville,alabama,south
61,2972,75.9,15.6,53.8,44.4,1.7,0.2,0.0,2.8,3.2,0.5215343203230148,,brent,alabama,south
62,5276,75.9,24.1,56.6,42.4,1.9,0.9,0.2,1.9,2.0,0.46986353297952993,,brewton,alabama,south
63,2264,75.6,20.8,88.3,10.5,5.8,0.7,0.0,1.4,1.4,0.4704063604240283,,bridgeport,alabama,south
64,2337,74.8,21.1,9.6,78.9,1.6,0.3,0.2,14.7,17.0,0.4809584937954643,,brighton,alabama,south
65,845,75.5,20.1,98.6,1.1,2.7,0.8,0.0,2.5,1.8,0.49230769230769234,,brilliant,alabama,south
66,624,71.0,16.0,94.4,0.0,4.0,0.2,0.0,5.4,6.3,0.46794871794871795,,bristow cove,alabama,south
67,7406,77.7,11.6,71.1,20.0,2.0,7.3,0.2,6.5,6.6,0.4704293815825007,,brook highland,alabama,south
68,1253,72.9,18.0,75.8,22.9,2.6,0.7,0.1,3.2,2.6,0.4828411811652035,,brookside,alabama,south
69,2504,70.3,10.3,87.3,10.3,2.2,0.6,0.0,3.0,3.6,0.4992012779552716,,brookwood,alabama,south
70,160,78.8,21.3,98.8,0.6,1.9,0.0,0.0,0.0,1.3,0.46875,,broomtown,alabama,south
71,2073,77.7,22.3,30.0,71.1,1.9,0.4,0.1,1.5,2.2,0.467438494934877,,brundidge,alabama,south
72,22,81.8,18.2,27.3,40.9,22.7,0.0,0.0,9.1,18.2,0.45454545454545453,,bucks,alabama,south
73,1871,74.4,22.7,65.3,32.5,1.2,1.4,0.1,1.7,2.0,0.4649919828968466,,butler,alabama,south
74,16494,68.4,9.1,63.1,33.6,2.6,1.4,0.0,6.0,6.3,0.46780647508184797,,calera,alabama,south
75,255,76.5,18.4,63.9,25.5,12.5,0.0,0.0,1.2,0.8,0.5843137254901961,,calvert,alabama,south
76,1927,73.9,20.5,39.5,60.6,0.9,0.3,0.0,1.0,1.7,0.4639335755059678,,camden,alabama,south
77,1006,75.6,19.7,11.7,88.2,0.8,0.5,0.0,0.6,0.6,0.44731610337972166,,camp hill,alabama,south
78,1769,78.0,25.6,92.0,7.4,3.5,0.4,0.1,2.9,2.2,0.4573205200678349,,carbon hill,alabama,south
79,52,69.2,11.5,98.1,0.0,0.0,0.0,0.0,3.8,3.8,0.5192307692307693,,cardiff,alabama,south
80,2167,71.7,16.8,94.6,2.4,4.5,0.4,0.1,5.3,5.7,0.490539916935856,,carlisle-rockledge,alabama,south
81,46,91.3,6.5,60.9,37.0,6.5,4.3,0.0,2.2,2.2,0.6304347826086957,,carlton,alabama,south
82,286,73.1,17.5,95.8,2.4,1.7,1.4,0.0,0.7,0.7,0.46853146853146854,,carolina,alabama,south
83,1023,70.8,13.6,49.9,40.9,2.9,0.7,0.0,10.1,10.0,0.5259042033235581,,carrollton,alabama,south
84,486,74.3,18.3,64.2,36.6,1.0,0.0,0.0,1.6,0.6,0.4711934156378601,,castleberry,alabama,south
85,65,80.0,27.7,33.8,64.6,0.0,0.0,0.0,1.5,10.8,0.4461538461538462,,catherine,alabama,south
86,1845,75.6,22.9,90.4,9.2,2.7,0.5,0.1,1.1,1.6,0.4926829268292683,,cedar bluff,alabama,south
87,16406,67.8,12.4,21.1,76.1,1.4,0.5,0.2,5.0,5.7,0.4550774107034012,,center point,alabama,south
88,3587,76.9,26.4,90.4,9.0,2.1,0.7,0.1,2.1,2.1,0.47030945079453584,,centre,alabama,south
89,2800,74.1,25.8,72.2,25.6,1.3,0.4,0.1,3.8,3.8,0.4539285714285714,,centreville,alabama,south
90,1104,73.3,23.2,69.4,29.7,3.2,0.4,0.1,1.8,1.7,0.47101449275362317,,chatom,alabama,south
91,14982,68.3,12.3,86.3,10.2,2.6,2.8,0.1,4.1,4.5,0.48564944600186893,,chelsea,alabama,south
92,970,75.9,21.2,79.8,20.5,1.8,0.6,0.2,2.0,1.8,0.47835051546391755,,cherokee,alabama,south
93,6457,69.5,15.5,54.1,44.9,2.9,0.6,0.1,3.0,2.9,0.4593464457178256,,chickasaw,alabama,south
94,4754,73.9,18.5,57.7,42.1,1.2,0.5,0.0,1.7,1.6,0.4589819099705511,,childersburg,alabama,south
95,2838,71.0,16.0,89.3,7.4,1.9,1.7,0.0,3.8,3.6,0.49330514446793516,,choccolocco,alabama,south
96,195,80.5,26.7,49.2,51.8,1.0,0.0,0.0,0.0,1.5,0.47692307692307695,,chunchula,alabama,south
97,3946,69.7,17.8,72.0,22.0,10.4,0.6,0.1,2.0,1.7,0.4868220983274202,,citronelle,alabama,south
98,8768,73.7,19.8,75.2,20.1,2.6,1.2,0.1,5.6,6.5,0.4660127737226277,,clanton,alabama,south
99,10291,74.4,16.7,59.8,38.3,2.8,1.2,0.1,3.6,3.9,0.4852783986007191,,clay,alabama,south
100,466,80.0,25.8,96.1,2.6,5.4,0.9,0.0,3.2,3.0,0.48497854077253216,,clayhatchee,alabama,south
101,2265,87.6,12.7,36.3,64.2,0.2,0.2,0.0,1.2,1.6,0.7390728476821192,,clayton,alabama,south
102,1245,71.8,19.2,87.7,1.1,2.2,0.8,0.0,18.2,23.7,0.4891566265060241,,cleveland,alabama,south
103,1220,71.1,16.6,30.6,39.3,2.6,0.7,0.0,29.3,38.6,0.4786885245901639,,clio,alabama,south
104,2035,69.6,10.5,79.3,16.3,1.9,0.1,0.0,7.3,6.5,0.48746928746928747,,coaling,alabama,south
105,1318,71.9,22.8,86.4,12.1,2.7,0.6,0.1,2.9,3.6,0.4597875569044006,,coats bend,alabama,south
106,206,79.1,30.6,93.2,0.0,3.4,0.5,0.0,8.3,7.8,0.49029126213592233,,coffee springs,alabama,south
107,263,80.2,28.1,51.7,52.1,2.3,1.1,0.0,0.8,0.4,0.467680608365019,,coffeeville,alabama,south
108,904,73.9,18.3,94.9,3.3,2.7,0.2,0.1,2.7,3.5,0.5022123893805309,,coker,alabama,south
109,2059,63.9,16.9,63.2,8.0,3.9,0.5,0.2,31.1,54.2,0.4696454589606605,,collinsville,alabama,south
110,264,78.8,29.9,14.8,85.2,0.8,0.4,0.8,1.5,1.1,0.4621212121212121,,colony,alabama,south
111,690,74.8,22.5,82.5,20.3,1.9,1.0,0.1,1.2,0.4,0.48405797101449277,,columbia,alabama,south
112,4462,80.3,16.5,75.4,24.0,1.9,0.4,0.0,2.9,3.0,0.5528910802330793,,columbiana,alabama,south
113,1690,75.6,21.2,96.6,2.8,3.2,0.2,0.1,2.1,0.8,0.5094674556213018,,concord,alabama,south
114,1217,75.4,18.7,60.5,38.0,2.2,0.3,0.2,2.5,4.2,0.48315529991783074,,coosada,alabama,south
115,1728,77.0,23.3,88.0,13.1,2.5,0.1,0.0,1.3,1.2,0.4704861111111111,,cordova,alabama,south
116,3130,74.0,15.4,58.2,35.1,3.1,0.9,0.3,9.6,10.1,0.4773162939297125,,cottondale,alabama,south
117,1048,75.9,22.4,72.0,29.0,1.8,0.7,0.0,1.8,2.3,0.4866412213740458,,cottonwood,alabama,south
118,311,73.3,19.6,95.8,1.3,4.5,1.0,0.6,4.8,4.8,0.45980707395498394,,county line,alabama,south
119,583,76.5,17.2,55.1,43.2,7.9,0.9,0.5,1.5,1.4,0.47684391080617494,,courtland,alabama,south
120,1930,73.3,18.6,83.5,16.2,3.3,0.3,0.1,2.6,2.6,0.4906735751295337,,cowarts,alabama,south
121,1936,76.2,18.3,85.2,12.3,6.7,0.8,0.1,2.1,1.4,0.4865702479338843,,creola,alabama,south
122,1830,72.6,19.0,88.3,1.1,5.0,0.3,0.2,9.7,13.5,0.4710382513661202,,crossville,alabama,south
123,306,81.0,26.1,87.9,11.8,1.0,0.7,0.7,0.7,0.7,0.5032679738562091,,cuba,alabama,south
124,18213,73.4,20.2,93.5,1.9,2.7,2.1,0.1,5.3,5.7,0.4719156646351507,,cullman,alabama,south
125,126,73.8,20.6,56.3,46.0,2.4,0.8,0.0,3.2,3.2,0.42857142857142855,,cullomburg,alabama,south
126,152,64.5,21.1,85.5,14.5,5.9,0.7,0.0,3.3,0.7,0.4605263157894737,,cusseta,alabama,south
127,3084,76.8,21.2,54.0,45.6,1.4,0.5,0.0,1.5,1.3,0.4698443579766537,,dadeville,alabama,south
128,4866,74.2,15.8,67.0,26.8,3.7,4.4,0.4,8.9,11.6,0.4862309905466502,,daleville,alabama,south
129,27462,73.9,18.6,85.6,12.1,2.7,2.3,0.2,4.0,4.5,0.4804092928410167,,daphne,alabama,south
130,1778,88.0,31.6,96.5,1.2,3.8,0.9,0.2,3.0,2.4,0.49268841394825647,,dauphin island,alabama,south
131,174,74.7,16.1,94.3,4.6,0.6,0.6,0.6,2.9,1.7,0.47701149425287354,,daviston,alabama,south
132,28,78.6,21.4,35.7,64.3,0.0,0.0,0.0,0.0,0.0,0.39285714285714285,,dayton,alabama,south
133,1679,67.4,9.4,73.2,26.7,2.1,1.7,0.4,3.4,3.0,0.5116140559857058,,deatsville,alabama,south
134,57938,73.7,18.1,64.3,25.2,2.8,1.5,0.2,13.8,15.7,0.48595049880907176,,decatur,alabama,south
135,141,67.4,15.6,36.9,59.6,6.4,0.7,0.0,0.0,0.0,0.5106382978723404,,deer park,alabama,south
136,260,75.8,24.2,93.1,3.8,2.3,0.0,0.0,1.5,0.4,0.5153846153846153,,delta,alabama,south
137,7162,70.5,18.3,43.1,55.4,0.7,0.8,0.1,2.5,2.9,0.44456855626919856,,demopolis,alabama,south
138,230,74.3,11.7,79.6,23.0,0.4,0.0,0.0,0.4,0.0,0.49130434782608695,,detroit,alabama,south
139,548,71.5,18.1,98.5,0.7,2.0,0.0,0.0,2.9,2.0,0.5018248175182481,,dodge city,alabama,south
140,2297,73.1,18.7,84.3,15.4,2.7,1.1,0.0,1.2,0.7,0.4666956900304745,,dora,alabama,south
141,71072,73.6,19.3,61.8,35.4,2.1,2.3,0.2,3.8,4.4,0.4687781404772625,26061,dothan,alabama,south
142,1119,78.1,25.3,98.7,1.4,2.9,0.0,0.1,1.8,1.6,0.4924039320822163,,double springs,alabama,south
143,761,67.7,16.2,93.0,1.3,1.4,0.1,0.0,8.9,9.9,0.480946123521682,,douglas,alabama,south
144,285,66.3,17.2,57.2,44.6,0.4,1.4,0.0,0.7,0.7,0.4421052631578947,,dozier,alabama,south
145,936,77.9,20.3,95.8,1.9,3.2,0.7,0.0,2.6,3.2,0.49145299145299143,,dunnavant,alabama,south
146,330,77.6,22.4,93.6,0.9,2.1,0.3,0.0,4.8,5.2,0.503030303030303,,dutton,alabama,south
147,2903,69.0,12.9,89.7,4.3,1.6,6.4,0.1,2.5,2.6,0.4987943506717189,,eagle point,alabama,south
148,2293,70.1,17.6,72.5,27.1,3.1,0.5,0.1,2.7,3.4,0.46445704317488007,,east brewton,alabama,south
149,172,75.0,11.6,94.2,1.2,5.8,1.2,0.0,2.9,8.7,0.5058139534883721,,east point,alabama,south
150,1193,70.0,16.3,82.3,17.5,3.1,1.0,0.3,2.0,1.8,0.46102263202011734,,eclectic,alabama,south
151,746,77.1,18.0,27.6,71.4,1.2,0.8,0.0,2.7,2.7,0.4865951742627346,,edgewater,alabama,south
152,206,68.0,10.2,96.1,2.4,3.9,0.5,0.5,1.0,1.9,0.4854368932038835,,edwardsville,alabama,south
153,845,74.6,16.8,93.7,1.3,2.6,0.8,1.2,4.7,5.2,0.527810650887574,,egypt,alabama,south
154,3508,77.3,21.7,61.4,37.9,2.3,0.4,0.2,1.9,2.1,0.49486887115165334,,elba,alabama,south
155,1974,74.2,20.7,95.4,3.2,3.8,0.6,0.2,4.0,4.4,0.4858156028368794,,elberta,alabama,south
156,136,58.8,18.4,95.6,3.7,0.0,0.7,0.0,0.7,0.7,0.45588235294117646,,eldridge,alabama,south
157,411,79.6,20.4,91.2,8.8,0.2,0.0,0.0,0.0,0.7,0.46715328467153283,,elkmont,alabama,south
158,1280,68.6,14.8,67.3,31.1,3.6,1.6,0.1,3.7,4.8,0.465625,,elmore,alabama,south
159,32,81.3,34.4,18.8,87.5,3.1,6.3,0.0,3.1,0.0,0.34375,,emelle,alabama,south
160,3310,72.7,16.7,81.9,16.0,2.1,2.4,0.2,3.4,2.5,0.4936555891238671,,emerald mountain,alabama,south
161,28711,70.7,15.6,70.5,23.1,3.6,4.2,0.5,8.4,11.9,0.4856675141931664,,enterprise,alabama,south
162,272,74.6,15.1,4.0,95.6,0.0,0.0,0.0,0.7,1.1,0.5,,epes,alabama,south
163,150,80.0,22.0,86.7,13.3,6.0,0.0,0.7,1.3,2.0,0.4666666666666667,,equality,alabama,south
164,49,85.7,28.6,85.7,8.2,0.0,6.1,0.0,0.0,0.0,0.5306122448979592,,ethelsville,alabama,south
165,12882,71.1,20.2,47.1,48.8,1.5,0.7,0.1,5.1,5.9,0.45637323396988044,,eufaula,alabama,south
166,284,77.5,19.4,92.3,6.7,1.1,1.1,0.0,3.5,3.5,0.5070422535211268,,eunola,alabama,south
167,2937,70.8,20.5,16.5,83.6,0.4,0.5,0.0,0.7,0.9,0.4511406196799455,,eutaw,alabama,south
168,589,76.4,19.5,98.0,0.8,2.0,1.0,0.0,0.8,0.2,0.5025466893039049,,eva,alabama,south
169,3520,71.8,19.4,36.6,61.1,1.4,1.0,0.2,3.6,4.9,0.45397727272727273,,evergreen,alabama,south
170,557,71.5,17.1,86.7,10.8,5.0,1.6,0.2,2.7,2.7,0.4757630161579892,,excel,alabama,south
171,10000,71.3,19.4,3.6,96.0,0.6,0.3,0.0,1.2,1.6,0.4477,,fairfield,alabama,south
172,161,75.8,15.5,60.9,9.9,32.9,0.0,0.6,4.3,4.3,0.5217391304347826,,fairford,alabama,south
173,22477,75.7,29.1,92.3,5.7,2.2,1.5,0.1,3.6,3.8,0.46113805223116966,,fairhope,alabama,south
174,543,71.6,15.7,86.2,0.9,1.1,2.0,0.0,13.4,15.5,0.4972375690607735,,fairview,alabama,south
175,1197,80.0,35.1,95.8,3.3,2.3,0.5,0.0,2.3,2.2,0.4252297410192147,,falkville,alabama,south
176,90,68.9,17.8,72.2,27.8,7.8,0.0,0.0,0.0,0.0,0.45555555555555555,,faunsdale,alabama,south
177,4285,75.2,24.3,72.9,27.0,2.3,0.8,0.1,1.5,3.3,0.46371061843640604,,fayette,alabama,south
178,1422,76.3,24.3,97.9,1.7,1.9,0.3,0.0,1.1,1.4,0.5133614627285513,,fayetteville,alabama,south
179,79,68.4,19.0,74.7,19.0,0.0,0.0,1.3,5.1,2.5,0.5316455696202531,,fitzpatrick,alabama,south
180,114,80.7,25.4,47.4,53.5,0.0,0.0,0.0,0.0,0.0,0.43859649122807015,,five points,alabama,south
181,1466,70.5,16.4,71.3,26.9,4.4,0.1,0.1,3.5,2.6,0.46725784447476126,,flomaton,alabama,south
182,1923,76.9,24.4,83.0,17.0,1.9,0.6,0.0,2.3,3.2,0.4628185127405096,,florala,alabama,south
183,40184,73.7,19.5,76.3,20.9,2.6,1.8,0.2,4.5,5.2,0.4663049970137368,,florence,alabama,south
184,20335,78.9,28.6,82.1,13.3,2.6,1.7,0.2,7.7,8.7,0.46004425866732235,,foley,alabama,south
185,10409,75.4,19.5,18.4,80.4,1.3,0.3,0.0,2.5,2.4,0.46315688346623113,,forestdale,alabama,south
186,445,74.4,21.6,11.7,88.8,2.0,0.0,0.0,0.0,0.2,0.4606741573033708,,forkland,alabama,south
187,1225,67.8,14.4,21.9,78.7,0.6,0.3,0.1,0.6,1.1,0.46285714285714286,,fort deposit,alabama,south
188,14877,68.9,16.3,74.7,4.5,9.3,1.1,0.1,17.3,24.6,0.4859850776366203,,fort payne,alabama,south
189,4464,64.2,0.9,83.0,10.8,2.8,5.1,0.9,10.6,15.9,0.5432347670250897,,fort rucker,alabama,south
190,590,81.0,25.9,17.6,81.9,1.4,0.0,0.3,1.2,1.4,0.523728813559322,,franklin,alabama,south
191,198,82.8,28.8,89.4,9.6,2.0,0.0,0.5,0.5,0.5,0.5404040404040404,,fredonia,alabama,south
192,1170,74.5,20.2,46.3,54.0,2.6,0.9,0.3,1.3,1.0,0.49230769230769234,,frisco city,alabama,south
193,175,71.4,16.0,76.0,18.3,7.4,0.0,0.0,4.0,4.0,0.37142857142857144,,fruitdale,alabama,south
194,235,72.8,16.6,99.6,0.4,1.7,0.0,0.0,0.0,0.0,0.502127659574468,,fruithurst,alabama,south
195,223,77.6,23.3,88.8,11.2,1.8,0.4,0.4,0.0,0.0,0.5246636771300448,,fulton,alabama,south
196,9876,73.3,14.0,55.8,33.2,2.4,1.7,0.2,12.8,13.8,0.4790400972053463,,fultondale,alabama,south
197,967,75.0,19.0,95.4,2.2,5.9,0.7,0.1,3.3,2.7,0.4891416752843847,,fyffe,alabama,south
198,33945,73.9,18.9,56.8,38.4,3.1,1.1,0.1,6.4,8.1,0.4744144940344675,,gadsden,alabama,south
199,172,71.5,16.3,19.2,81.4,0.6,0.6,0.0,0.0,0.6,0.47674418604651164,,gainesville,alabama,south
200,869,74.8,19.4,98.4,0.5,2.1,0.6,0.0,2.5,2.2,0.4890678941311853,,gallant,alabama,south
201,196,77.6,22.4,79.6,19.4,1.0,2.0,0.0,4.6,4.1,0.47959183673469385,,gantt,alabama,south
202,528,76.5,18.4,99.1,0.9,2.7,0.2,0.0,1.9,1.9,0.5056818181818182,,garden city,alabama,south
203,16044,75.3,21.0,81.2,15.9,2.3,2.2,0.1,3.2,2.9,0.462478184991274,,gardendale,alabama,south
204,170,77.6,27.1,98.2,0.0,5.9,0.6,0.0,0.0,0.6,0.4823529411764706,,gaylesville,alabama,south
205,155,77.4,22.6,20.6,72.9,1.3,1.9,1.9,7.1,9.7,0.45161290322580644,,geiger,alabama,south
206,4245,75.9,23.4,82.9,16.8,3.1,0.9,0.1,2.4,2.7,0.48056537102473496,,geneva,alabama,south
207,1324,73.4,20.0,26.1,74.8,0.8,0.3,0.2,0.2,0.7,0.43731117824773413,,georgiana,alabama,south
208,910,71.6,19.7,97.0,0.9,4.7,0.3,0.1,2.1,3.1,0.46373626373626375,,geraldine,alabama,south
209,739,73.7,20.6,91.7,9.3,1.2,0.1,0.0,0.7,0.3,0.5060893098782138,,gilbertown,alabama,south
210,433,69.3,17.8,90.5,8.8,3.9,0.7,0.5,5.1,6.0,0.49653579676674364,,glen allen,alabama,south
211,5372,76.7,23.8,94.3,3.5,2.5,1.2,0.0,2.2,1.6,0.4804542069992554,,glencoe,alabama,south
212,152,80.3,25.0,68.4,30.3,2.6,1.3,0.0,3.9,2.6,0.47368421052631576,,glenwood,alabama,south
213,52,75.0,30.8,92.3,7.7,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,,goldville,alabama,south
214,2483,69.2,14.5,92.4,1.5,4.3,1.1,0.8,8.5,9.9,0.48489730165122835,,good hope,alabama,south
215,1291,76.4,23.9,23.5,77.7,0.9,0.2,0.0,0.9,0.5,0.4244771494965143,,goodwater,alabama,south
216,1628,71.6,19.5,58.8,42.0,1.6,0.6,0.1,1.7,1.4,0.4631449631449631,,gordo,alabama,south
217,294,76.9,25.2,32.7,67.0,2.7,0.3,0.3,0.7,0.7,0.45918367346938777,,gordon,alabama,south
218,245,77.6,22.0,3.3,98.4,2.4,0.0,0.4,0.4,1.2,0.4326530612244898,,gordonville,alabama,south
219,269,71.0,23.0,72.9,27.1,3.3,0.0,0.0,2.2,2.2,0.49814126394052044,,goshen,alabama,south
220,196,78.1,11.2,88.3,11.2,5.1,1.5,0.0,2.0,2.0,0.4336734693877551,,graham,alabama,south
221,3460,74.5,19.8,87.9,10.2,1.8,1.8,0.1,2.1,1.8,0.49219653179190753,,grand bay,alabama,south
222,1039,68.9,11.9,97.9,0.8,2.9,0.7,0.1,1.6,1.4,0.4879692011549567,,grant,alabama,south
223,5982,70.6,12.8,42.5,54.4,1.9,1.4,0.1,4.6,5.0,0.45820795720494817,,grayson valley,alabama,south
224,1950,78.7,22.2,69.8,28.5,3.0,0.6,0.2,2.7,3.3,0.48923076923076925,,graysville,alabama,south
225,2218,73.4,21.9,30.8,69.5,0.9,0.6,0.4,0.5,0.7,0.44679891794409377,,greensboro,alabama,south
226,7374,72.1,19.5,38.5,60.3,1.0,1.9,0.1,1.6,1.8,0.4488744236506645,,greenville,alabama,south
227,573,70.3,15.0,60.7,40.3,1.7,1.4,0.0,3.1,5.9,0.4973821989528796,,grimes,alabama,south
