accuracy,precision,recall,f1,model
0.926829268292683,0.9288812423795373,0.926829268292683,0.9269798248998808,Decision Tree Classification
0.875,0.7932402627190891,0.875,0.8316355383260732,Logistic Regression
0.8734756097560976,0.8412459947118993,0.8734756097560976,0.8412800323115216,KNN
0.8780487804878049,0.7838414634146342,0.8780487804878049,0.827929944389321,Support Vector Machine
0.036585365853658534,0.8736335885445322,0.036585365853658534,0.016128567264731872,Naive Bayes
0.8963414634146342,0.8748512669805996,0.8963414634146342,0.8838713167206124,Linear Discriminant Analysis
