mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.016585731506347658,0.0027864464499946064,0.0022341728210449217,0.0002826972193219276,,gini,,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'best'}",0.9313725490196079,0.9248366013071896,0.9084967320261438,0.9379084967320261,0.8918032786885246,0.9188835315546985,0.016700835886012823,14
0.004053783416748047,0.0003289006688718226,0.0015132904052734375,0.00045516656721249893,,gini,,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'random'}",0.9019607843137255,0.9281045751633987,0.9052287581699346,0.9183006535947712,0.898360655737705,0.910391085395907,0.011124565837107633,25
0.0055005550384521484,0.0008267807282299136,0.0012207508087158203,0.0004987866744050391,,gini,,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'best'}",0.8660130718954249,0.9150326797385621,0.869281045751634,0.8823529411764706,0.8295081967213115,0.8724375870566806,0.02759285005407401,102
0.0026322364807128905,0.0003736178918719018,0.0012370109558105468,0.00048744347252376816,,gini,,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'}",0.8660130718954249,0.869281045751634,0.8725490196078431,0.8594771241830066,0.8819672131147541,0.8698574949105324,0.007439805892288461,107
0.005438756942749023,0.0007954518009415899,0.0016353607177734375,0.0005228113014264754,,gini,,log2,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'best'}",0.8529411764705882,0.8562091503267973,0.8464052287581699,0.8464052287581699,0.8557377049180328,0.8515396978463518,0.004338588199177348,132
0.002490377426147461,0.0004238105914641141,0.0016941547393798829,0.0004125351486385778,,gini,,log2,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'random'}",0.8300653594771242,0.8431372549019608,0.869281045751634,0.8627450980392157,0.8655737704918033,0.8541605057323476,0.015064373202690133,129
0.005051660537719727,0.0006572189900261273,0.0017280101776123047,0.0008273830356240031,,gini,2,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'splitter': 'best'}",0.8856209150326797,0.9019607843137255,0.8986928104575164,0.9019607843137255,0.898360655737705,0.8973191899710704,0.00604830417227129,39
0.0023550987243652344,0.00038553771932156437,0.0008470535278320313,0.00043366307624666684,,gini,2,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'splitter': 'random'}",0.8790849673202614,0.8921568627450981,0.8725490196078431,0.8888888888888888,0.8754098360655738,0.881617914925533,0.0076306934482398775,62
0.0022409915924072265,0.0002606709866019768,0.0015031814575195313,0.000616543814792366,,gini,2,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'best'}",0.869281045751634,0.8594771241830066,0.8888888888888888,0.9019607843137255,0.8754098360655738,0.8790035358405657,0.014922987007774296,72
0.002215576171875,0.00027098435446834025,0.0010062694549560548,2.639525187123877e-05,,gini,2,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'random'}",0.8725490196078431,0.8823529411764706,0.8660130718954249,0.8856209150326797,0.8721311475409836,0.8757334190506804,0.007199757754642545,91
0.0023252487182617186,0.0003832900128742584,0.001172018051147461,0.0006684753301044096,,gini,2,log2,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'best'}",0.8856209150326797,0.8888888888888888,0.9019607843137255,0.8660130718954249,0.8688524590163934,0.8822672238294225,0.01331978518954285,60
0.0019165515899658204,0.0002499306200541764,0.001298666000366211,0.000404025871550411,,gini,2,log2,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'random'}",0.8790849673202614,0.8823529411764706,0.869281045751634,0.869281045751634,0.8688524590163934,0.8737704918032787,0.005768871388029813,96
0.009112358093261719,0.00039440109070451243,0.0010211944580078125,0.0006555458400514898,,gini,4,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'splitter': 'best'}",0.9215686274509803,0.9150326797385621,0.9183006535947712,0.9183006535947712,0.9081967213114754,0.916279867138112,0.0045394022584052595,18
0.002475595474243164,0.0004923636933428856,0.001311016082763672,0.00041149260370549354,,gini,4,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'splitter': 'random'}",0.8954248366013072,0.8921568627450981,0.9150326797385621,0.8921568627450981,0.9016393442622951,0.8992821172184721,0.008602951300752802,36
0.0032659053802490236,0.00024869562555056865,0.0009070873260498047,0.00019965631335290765,,gini,4,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'splitter': 'best'}",0.8856209150326797,0.8725490196078431,0.8823529411764706,0.8758169934640523,0.8819672131147541,0.8796614164791599,0.00476324267499696,68
0.0020267486572265623,7.074299897201976e-05,0.0014180183410644532,0.0003696536438398827,,gini,4,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'splitter': 'random'}",0.8725490196078431,0.8823529411764706,0.8725490196078431,0.8823529411764706,0.8688524590163934,0.8757312761170042,0.005572513508343727,92
