accuracy,precision,recall,f1,model
0.2774390243902439,0.29784243504595165,0.2774390243902439,0.2324189733521345,Decision Tree Classification
0.31402439024390244,0.31608483915518254,0.31402439024390244,0.29564933332462073,Logistic Regression
0.22408536585365854,0.2251378831509154,0.22408536585365854,0.21731467703666774,KNN
0.21951219512195122,0.22854999924321998,0.21951219512195122,0.21728254297592933,Support Vector Machine
0.09603658536585366,0.125983871964089,0.09603658536585366,0.031612913001176426,Naive Bayes
0.22408536585365854,0.23084235621066063,0.22408536585365854,0.22468412619447195,Linear Discriminant Analysis
