mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.018649530410766602,0.0014040443313826961,0.0017097949981689452,0.0003833369393002425,,gini,,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'best'}",0.8888888888888888,0.8790849673202614,0.9019607843137255,0.8137254901960784,0.8754098360655738,0.8718139933569056,0.030464577492717828,15
0.006828594207763672,0.0005015812736892354,0.0014332294464111327,0.0005239103318510297,,gini,,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'splitter': 'random'}",0.7483660130718954,0.7973856209150327,0.8398692810457516,0.673202614379085,0.8098360655737705,0.773731918997107,0.058286753115256856,23
0.007449483871459961,0.0006515834271439312,0.001821756362915039,0.0002290183395396535,,gini,,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'best'}",0.31699346405228757,0.33986928104575165,0.4215686274509804,0.3104575163398693,0.3377049180327869,0.34531876138433515,0.039797835108767055,72
0.004329490661621094,0.0007322952880096517,0.0015933513641357422,0.0005511438293656863,,gini,,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'splitter': 'random'}",0.3137254901960784,0.238562091503268,0.2222222222222222,0.3104575163398693,0.2098360655737705,0.25896067716704174,0.044339943671371576,119
0.007313060760498047,0.00035335433260319537,0.0015971660614013672,0.00048784221342365104,,gini,,log2,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'best'}",0.3888888888888889,0.5686274509803921,0.38562091503267976,0.3790849673202614,0.34098360655737703,0.4126411657559198,0.07985838719557417,51
0.004599714279174804,0.000353937133758432,0.001339101791381836,0.0004266350711017728,,gini,,log2,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'splitter': 'random'}",0.23202614379084968,0.28104575163398693,0.2581699346405229,0.28431372549019607,0.28852459016393445,0.26881602914389796,0.02118965348547437,109
0.005628347396850586,0.0009867931913428887,0.0013110637664794922,0.0006556449716455679,,gini,2,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'splitter': 'best'}",0.3333333333333333,0.32679738562091504,0.32679738562091504,0.3300653594771242,0.33114754098360655,0.3296282010071788,0.002539863718719842,82
0.0023934364318847655,0.00037650644716503127,0.0008153438568115235,0.0004090889444631313,,gini,2,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'splitter': 'random'}",0.16993464052287582,0.16666666666666666,0.17320261437908496,0.19607843137254902,0.1901639344262295,0.17920925747348118,0.011696057798824088,181
0.002233123779296875,0.0004104203818320301,0.0018520355224609375,0.0005008155772756499,,gini,2,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'best'}",0.2222222222222222,0.19934640522875818,0.17320261437908496,0.16993464052287582,0.21639344262295082,0.19621986499517838,0.021510824814414433,162
0.0019195556640625,0.0004977134662449784,0.0012382984161376954,0.0007934592578242312,,gini,2,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'random'}",0.11437908496732026,0.11764705882352941,0.1437908496732026,0.20915032679738563,0.1377049180327869,0.14453444765884496,0.03421895622944336,208
0.002408409118652344,0.0003770060936325922,0.0009971141815185546,0.0006298624563474122,,gini,2,log2,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'best'}",0.21241830065359477,0.2875816993464052,0.16993464052287582,0.20915032679738563,0.17704918032786884,0.21122682952962607,0.04173476773554899,147
0.0018850803375244141,0.0007600536695393603,0.001302337646484375,0.0005964831011659955,,gini,2,log2,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'random'}",0.11437908496732026,0.14052287581699346,0.12418300653594772,0.1437908496732026,0.21639344262295082,0.14785385192328296,0.03591321660709407,205
0.00912022590637207,0.0007798575290210848,0.0016115188598632812,0.00037292691230568563,,gini,4,,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'splitter': 'best'}",0.545751633986928,0.5261437908496732,0.5065359477124183,0.49019607843137253,0.5245901639344263,0.5186435229829637,0.01888023685936719,43
0.0027114391326904298,0.0004162017788081707,0.0013084888458251953,0.0005988112299427189,,gini,4,,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': None, 'splitter': 'random'}",0.19607843137254902,0.2647058823529412,0.27450980392156865,0.23529411764705882,0.29508196721311475,0.2531340405014465,0.03442111189824222,122
0.0032059192657470704,0.0006583088948650275,0.0016201972961425782,0.0007274596117208204,,gini,4,sqrt,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'splitter': 'best'}",0.238562091503268,0.3562091503267974,0.34967320261437906,0.21568627450980393,0.2360655737704918,0.279239258544948,0.06073365701717208,102
0.0016193866729736328,0.0004591642599764278,0.0014896869659423828,0.0005261171802447575,,gini,4,sqrt,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'splitter': 'random'}",0.16339869281045752,0.1437908496732026,0.19281045751633988,0.14052287581699346,0.14426229508196722,0.15695703417979212,0.019654766888369247,196
